mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
54.02240240053785,33.428080379478516,0.5999036389658217,-0.190698184416601,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.83740837517111,-7.8601850574721635,-37087.52705753925
37.443337501397025,35.35854593934714,0.2963720041702854,-0.35951516946005874,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.857538847307694,-7.8601850574721635,-36658.36889035531
45.04621504205458,38.91002230543964,0.4127587365710387,0.03973270652058759,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.86820356752355,-7.8601850574721635,-37347.735054734505
42.005613895897945,40.89534148729876,0.6654276824660788,-0.23853548210422354,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.88606196287142,-7.8601850574721635,-37033.26498176891
40.24588854628676,40.03500917888327,-0.43238374544038594,0.6199107390567942,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.89416340075214,-7.8601850574721635,-37121.69312520414
48.06970382001237,35.115447246507294,0.5392139335205264,-0.3638928257981174,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.91122890547733,-7.8601850574721635,-36970.00908349262
56.292053986198496,31.22154708993629,0.2052334243546691,0.4766005770063091,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.913099329763085,-7.8601850574721635,-36570.49210762476
48.61840718312171,37.95885308902345,0.6253020070560069,-0.05187050788910146,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.92541462780669,-7.8601850574721635,-36665.34012331099
47.58498388874724,36.197344868088784,0.43652146388962787,-0.10382399331208841,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.93867803472445,-7.8601850574721635,-37100.46032417141
39.543579184499876,33.69721271657854,-0.0818850046523196,0.08231933983270397,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.94661995892838,-7.8601850574721635,-36662.51401176596
43.822910554065075,37.0304813131342,0.23972404577848305,-0.07127377500463583,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.956807365750876,-7.8601850574721635,-37213.78754863108
54.37201447039564,32.701673632562795,0.1337433825683999,0.6110588132862066,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.973636133485726,-7.8601850574721635,-37123.79109095572
39.710502722181516,32.41584576687012,0.06802050027501608,-0.23657202683578676,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.98502107659096,-7.8601850574721635,-36624.93937635338
34.55190626268649,31.379906813337332,-0.30605452398329214,-0.5951296729246839,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.991150028611926,-7.8601850574721635,-36108.156031021506
38.362521563974965,30.86612452420905,-0.13352532023921176,-0.35517358219036294,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.00945161112941,-7.8601850574721635,-36400.72559365606
39.27320608108661,32.54330232993417,0.449731757533399,-0.7500846480493519,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.021699468438236,-7.8601850574721635,-36569.11831011021
49.49825831400038,31.51547870557904,-0.04868781122882945,0.27432781422776004,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.02608196309253,-7.8601850574721635,-36814.65408924391
47.41371020290114,37.336491012898,0.432781633356632,0.00017574669105958896,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.04748500981148,-7.8601850574721635,-36915.54195245926
42.59813086693256,41.08935857141452,-0.15911759584748042,0.6804189666211065,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.06576177071348,-7.8601850574721635,-37429.38672853256
47.81553709935055,36.40354955495952,0.15526234001309658,0.39429829488994333,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.066908807006065,-7.8601850574721635,-37352.573144594906
39.938815051428804,33.96116114885604,-0.25842555098683295,0.33142645073011473,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.070475765066874,-7.8601850574721635,-36704.15383625089
