mass_1,mass_2,spin_1z,spin_2z,luminosity_distance,theta_jn,phase,geocent_time,ra,dec,psi,log_likelihood,log_prior
33.366627713511456,35.128363116849094,-0.4649058818853558,0.48553447148514894,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5166173226498,-8.553332238032109
35.43592031016581,32.96436211148289,0.16875247863549944,-0.14101175138440816,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5202889309483,-8.553332238032109
36.48389604885677,31.20647907943959,0.7451105291355837,-0.7635107127788439,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5308424076909,-8.553332238032109
32.590184182746526,36.767067415670994,-0.6543081406144777,0.48228051239670167,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5412431953175,-8.553332238032109
33.74509672654234,34.81542511161353,-0.72608674575328,0.7592977348729405,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5463261950265,-8.553332238032109
35.153636213703315,34.197633610550966,0.2633559111223818,-0.3241622130598444,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5477759934424,-8.553332238032109
35.033154499640276,32.68789822049923,-0.27190000960822186,0.5483074779795039,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5549690474618,-8.553332238032109
32.30078231615563,36.56662044226347,0.49969842389072433,-0.3921318833799271,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5669660596659,-8.553332238032109
35.733099458829194,32.738370527462116,0.07141384930696015,0.0616941261261817,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5675356882468,-8.553332238032109
35.23145840751392,32.84961730869873,-0.30076910497989845,0.5581493328307279,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5814174454895,-8.553332238032109
32.15010364593007,35.01241847916639,0.4741190998712959,-0.17678221097064983,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5855149860604,-8.553332238032109
32.57185877739293,35.87033538008838,0.5872742656409646,-0.4333545156832944,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.6005106890251,-8.553332238032109
34.186579510860554,34.436636733999066,0.4578694231612209,-0.3408498827532875,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.6318363625176,-8.553332238032109
32.88256676462382,34.80218519559638,0.604903292761372,-0.38365158973971797,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.6520199532296,-8.553332238032109
33.75826695581674,35.248396449681564,-0.6430023111236672,0.573780785789071,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.6724444857421,-8.553332238032109
35.14015159900313,32.84648694396044,-0.2865571102164682,0.4920018287740384,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.690658555842,-8.553332238032109
37.58421650390343,31.638312170077153,-0.1645799470949705,0.20996427876455281,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.6986721399012,-8.553332238032109
35.546296938594494,31.900225803777708,0.4997970691866335,-0.35296048756179055,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7098551012693,-8.553332238032109
32.326375844910736,36.80469017386544,0.011821524804300411,-0.0627223141678914,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7117477019929,-8.553332238032109
34.137843285018405,35.74036104864529,0.2319852072903328,-0.3198887656251648,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7163631385754,-8.553332238032109
33.76416662062566,33.94730355561077,-0.09880256015550516,0.25113327058914836,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7188572223401,-8.553332238032109
33.38512145303575,35.89661549785149,0.7265792453400278,-0.6712121505301067,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7252431977097,-8.553332238032109
30.657196682132884,37.35129073028656,0.03609029273755759,0.06763015374315547,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7569728837974,-8.553332238032109
31.921515745623545,36.413400848735606,-0.356821049848744,0.3236564467053218,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7627320083459,-8.553332238032109
37.419608492132774,30.761638436193536,0.37441743669239125,-0.3818452297830809,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.7668315270964,-8.553332238032109
